Chemical Blood Tests Dataset
============================

printViewSource

This file generates a TSV dataset of blood chemistry tests. I created it for the blog post "Ketones vs Lithium".
 https://breckyunits.com/chemicalBloodTests.tsv TSV
 https://breckyunits.com/chemicalBloodTests.scroll This file
 https://breckyunits.com/../ketonesVsLithium.html Ketones vs Lithium

It is specific to blood chemistry tests. So there are no urine tests. And it is not about blood cell tests. And it does not gain blood gas tests. Generally it is a collection of information on levels of chemicals in blood plasma.

This dataset was created to see how common it is for the target levels of certain chemicals in blood to fall between 0.8 and 3.0 mmol/L.

At some point, I would like to add fields to get some measure on how popular each test is. Also, I want to add categories for each test (ie, electrolytes, Hormones, etc), and what the test method is (for example, Ion-Selective Electrode, Atomic Absorption Spectroscopy, Inductively Coupled Plasma Mass Spectrometry or Flame Emission Spectroscopy). I also want to add chemical formulas. It is likely that all the measures I would want to add are already present in HMDB.
 https://hmdb.ca/metabolites?utf8=%E2%9C%93&filter=true&quantified=1&blood=1&filter=true HMDB

id,bottom,top,canTestAtHome,endogenous,chemicalWikipediaPage,diagram,aka,bloodTestWikipediaPage,testAtLab,testAtHome,testByMail
Furosemide glucuronide,0.000001,0.0004,false,,https://en.wikipedia.org/wiki/Furosemide,,,,,,
Galactose,0,0.0002,false,,https://en.wikipedia.org/wiki/Galactose,,,,,,
Gastric Inhibitory Peptide (GIP),1.25e-10,4e-10,false,,https://en.wikipedia.org/wiki/Gastric_inhibitory_polypeptide,,,,,,
Gastrin,0,2e-11,false,,https://en.wikipedia.org/wiki/Gastrin,,,,,,
Glucosamine,0.00042,0.00089,false,,https://en.wikipedia.org/wiki/Glucosamine,,,,,,
Glucuronic acid,0.000008,0.000011,false,,https://en.wikipedia.org/wiki/Glucuronic_acid,,,,,,
Glutamic acid,0.000002,0.000028,false,,https://en.wikipedia.org/wiki/Glutamic_acid,,,,,,
Glutamine,0.000046,0.000106,false,,https://en.wikipedia.org/wiki/Glutamine,,,,,,
Glutathione,0.00025,0.00041,false,,https://en.wikipedia.org/wiki/Glutathione,,,,,,
Glycerol,0.0000029,0.0000172,false,,https://en.wikipedia.org/wiki/Glycerol,,,,,,
Glycogen,0.000012,0.000162,false,,https://en.wikipedia.org/wiki/Glycogen,,,,,,
Cyclic GMP,6e-10,4.4e-9,false,,https://en.wikipedia.org/wiki/Cyclic_guanosine_monophosphate,,,,,,
Gonadotropin-releasing hormone,1e-12,8e-11,false,,https://en.wikipedia.org/wiki/Gonadotropin-releasing_hormone,,,,,,
Guanidine,0.0000018,0.0000023,false,,https://en.wikipedia.org/wiki/Guanidine,,,,,,
Haptoglobin,0.0003,0.0022,false,,https://en.wikipedia.org/wiki/Haptoglobin,,,,,,
Hemoglobin,0.12,0.195,false,,https://en.wikipedia.org/wiki/Hemoglobin,,,,,,
Histamine,6.7e-8,8.6e-8,false,,https://en.wikipedia.org/wiki/Histamine,,,,,,
beta-Hydroxybutyric acid,0.000001,0.000009,false,,https://en.wikipedia.org/wiki/Beta-Hydroxybutyric_acid,,,,,,
17α-Hydroxycorticosteroids,4e-8,1e-7,false,,https://en.wikipedia.org/wiki/17-Hydroxycorticosteroid,,,,,,
17α-Hydroxyprogesterone,4e-12,3e-10,false,,https://en.wikipedia.org/wiki/17-Hydroxyprogesterone,,,,,,
Indican,8e-7,0.000005,false,,https://en.wikipedia.org/wiki/Indican,,,,,,
Insulin-like growth factor,9.9e-9,0.000005,false,,https://en.wikipedia.org/wiki/Insulin-like_growth_factor_1,,,,,,
alpha-Ketonic acids,0.000001,0.00003,false,,https://en.wikipedia.org/wiki/Alpha-Ketonic_acid,,,,,,
Leptin,1.2e-9,1.2e-9,false,,https://en.wikipedia.org/wiki/Leptin,,,,,,
Lecithin,0.001,0.00225,false,,https://en.wikipedia.org/wiki/Lecithin,,,,,,
Lipoprotein,0.0001,0.001,false,,https://en.wikipedia.org/wiki/Lipoprotein,,,,,,
Lysozyme,0.000001,0.000015,false,,https://en.wikipedia.org/wiki/Lysozyme,,,,,,
Malic acid,0.000001,0.000009,false,,https://en.wikipedia.org/wiki/Malic_acid,,,,,,
Melatonin (Day),1.35e-12,1.45e-12,false,,https://en.wikipedia.org/wiki/Melatonin,,,,,,
Melatonin (Night),6.07e-12,7.13e-12,false,,https://en.wikipedia.org/wiki/Melatonin,,,,,,
Mercury,0,2e-7,false,,https://en.wikipedia.org/wiki/Mercury_(element),,,,,,
Methemoglobin,0.0004,0.0006,false,,https://en.wikipedia.org/wiki/Methemoglobin,,,,,,
Methyl guanidine,0.000002,0.000003,false,,https://en.wikipedia.org/wiki/Methylguanidine,,,,,,
Macrophage inflammatory protein 1-alpha,2.3e-10,2.3e-10,false,,https://en.wikipedia.org/wiki/CCL3,,,,,,
Macrophage inflammatory protein 1-beta,9e-10,9e-10,false,,https://en.wikipedia.org/wiki/CCL4,,,,,,
Mucopolysaccharides,0.00175,0.00225,false,,https://en.wikipedia.org/wiki/Glycosaminoglycan,,,,,,
Mucoproteins,0.000865,0.00096,false,,https://en.wikipedia.org/wiki/Mucoprotein,,,,,,
Niacin,2e-7,0.000015,false,,https://en.wikipedia.org/wiki/Niacin,,,,,,
Norepinephrine (after 15 min rest),2.15e-10,4.75e-10,false,,https://en.wikipedia.org/wiki/Norepinephrine,,,,,,
Norepinephrine (when emitted),8.1e-9,8.5e-9,false,,https://en.wikipedia.org/wiki/Norepinephrine,,,,,,
Nucleotide,0.00031,0.00052,false,,https://en.wikipedia.org/wiki/Nucleotide,,,,,,
Ornithine,0.000004,0.000014,false,,https://en.wikipedia.org/wiki/Ornithine,,,,,,
Oxytocin (male),2e-12,2e-12,false,,https://en.wikipedia.org/wiki/Oxytocin,,,,,,
"Oxytocin (female, nonlactating)",2e-12,2e-12,false,,https://en.wikipedia.org/wiki/Oxytocin,,,,,,
"Oxytocin (female, pregnant 33-40 wks)",3.2e-10,4.8e-10,false,,https://en.wikipedia.org/wiki/Oxytocin,,,,,,
Pancreatic polypeptide,5e-11,2e-10,false,,https://en.wikipedia.org/wiki/Pancreatic_polypeptide,,,,,,
Pantothenic acid,6e-8,3.5e-7,false,,https://en.wikipedia.org/wiki/Pantothenic_acid,,,,,,
Para-aminobenzoic acid,3e-8,4e-8,false,,https://en.wikipedia.org/wiki/Para-Aminobenzoic_acid,,,,,,
Pentose,0.00002,0.000023,false,,https://en.wikipedia.org/wiki/Pentose,,,,,,
Phenol,7e-7,0.000001,false,,https://en.wikipedia.org/wiki/Phenol,,,,,,
Phenylalanine,0.000011,0.00004,false,,https://en.wikipedia.org/wiki/Phenylalanine,,,,,,
Phospholipid,0.00005,0.00012,false,,https://en.wikipedia.org/wiki/Phospholipid,,,,,,
"Phosphorus inorganic, adult",0.000023,0.000045,false,,https://en.wikipedia.org/wiki/Phosphorus,,,,,,
"Phosphorus inorganic, children",0.00004,0.00007,false,,https://en.wikipedia.org/wiki/Phosphorus,,,,,,
Phosphorus total,0.0001,0.00015,false,,https://en.wikipedia.org/wiki/Phosphorus,,,,,,
Phytanic acid,0,0.000003,false,,https://en.wikipedia.org/wiki/Phytanic_acid,,,,,,
Platelet-derived growth factor,0,5e-8,false,,https://en.wikipedia.org/wiki/Platelet-derived_growth_factor,,,,,,
Polysaccharides total,0.000073,0.000131,false,,https://en.wikipedia.org/wiki/Polysaccharide,,,,,,
Pregnenolone,3e-10,2e-9,false,,https://en.wikipedia.org/wiki/Pregnenolone,,,,,,
"Progesterone (female, follicular)",4e-10,9e-10,false,,https://en.wikipedia.org/wiki/Progesterone,,,,,,
"Progesterone (female, midluteal)",7.7e-9,1.21e-8,false,,https://en.wikipedia.org/wiki/Progesterone,,,,,,
"Progesterone (pregnancy, weeks 16-18)",3e-9,6.6e-8,false,,https://en.wikipedia.org/wiki/Progesterone,,,,,,
"Progesterone (pregnancy, weeks 28-30)",7e-8,1.26e-7,false,,https://en.wikipedia.org/wiki/Progesterone,,,,,,
"Progesterone (pregnancy, weeks 38-40)",1.31e-7,2.27e-7,false,,https://en.wikipedia.org/wiki/Progesterone,,,,,,
Progesterone (male),1.2e-8,2e-8,false,,https://en.wikipedia.org/wiki/Progesterone,,,,,,
Proinsulin fasting,5e-10,5e-10,false,,https://en.wikipedia.org/wiki/Proinsulin,,,,,,
Proinsulin mean,1.42e-8,1.7e-8,false,,https://en.wikipedia.org/wiki/Proinsulin,,,,,,
"Prolactin (male, awake)",1e-9,7e-9,false,,https://en.wikipedia.org/wiki/Prolactin,,,,,,
"Prolactin (male, during sleep)",9e-9,2e-8,false,,https://en.wikipedia.org/wiki/Prolactin,,,,,,
"Prolactin (female, follicular)",0,2.3e-8,false,,https://en.wikipedia.org/wiki/Prolactin,,,,,,
"Prolactin (female, luteal)",5e-9,4e-8,false,,https://en.wikipedia.org/wiki/Prolactin,,,,,,
Proline,0.000012,0.000057,false,,https://en.wikipedia.org/wiki/Proline,,,,,,
Prostaglandin PGE,3.55e-11,4.15e-11,false,,https://en.wikipedia.org/wiki/Prostaglandin_E2,,,,,,
Prostaglandin PGF,1.26e-11,1.56e-11,false,,https://en.wikipedia.org/wiki/Prostaglandin_F2alpha,,,,,,
15-keto-PGF2a,0,5e-10,false,,https://en.wikipedia.org/wiki/15-Keto-prostaglandin_F2alpha,,,,,,
15-keto-PGE2,0,5e-11,false,,https://en.wikipedia.org/wiki/15-Keto-prostaglandin_E2,,,,,,
Protein total,0.06,0.083,false,,https://en.wikipedia.org/wiki/Protein,,,,,,
Protoporphyrin,2.7e-7,6.1e-7,false,,https://en.wikipedia.org/wiki/Protoporphyrin,,,,,,
Pseudoglobulin I,0.008,0.019,false,,https://en.wikipedia.org/wiki/Pseudoglobulin,,,,,,
Pseudoglobulin II,0.002,0.008,false,,https://en.wikipedia.org/wiki/Pseudoglobulin,,,,,,
Purine total,0.0000095,0.0000115,false,,https://en.wikipedia.org/wiki/Purine,,,,,,
Pyrimidine nucleotides,2e-7,0.0000012,false,,https://en.wikipedia.org/wiki/Pyrimidine,,,,,,
Pyridoxine (Vitamin B6),3.6e-9,9e-8,false,,https://en.wikipedia.org/wiki/Pyridoxine,,,,,,
RANTES,0,7e-11,false,,https://en.wikipedia.org/wiki/CCL5,,,,,,
Relaxin (day <100 preparturition),0,2e-9,false,,https://en.wikipedia.org/wiki/Relaxin,,,,,,
Relaxin (day 100 to 2 days preceding parturition),5e-9,4e-8,false,,https://en.wikipedia.org/wiki/Relaxin,,,,,,
Relaxin (day preceding parturition),0.0001,0.0002,false,,https://en.wikipedia.org/wiki/Relaxin,,,,,,
Relaxin (day following parturition),0,2e-9,false,,https://en.wikipedia.org/wiki/Relaxin,,,,,,
Retinol (Vitamin A),1e-7,8e-7,false,,https://en.wikipedia.org/wiki/Retinol,,,,,,
Riboflavin (Vitamin B2),2.6e-8,3.7e-8,false,,https://en.wikipedia.org/wiki/Riboflavin,,,,,,
RNA,0.00004,0.00006,false,,https://en.wikipedia.org/wiki/RNA,,,,,,
Secretin,2.9e-11,4.5e-11,false,,https://en.wikipedia.org/wiki/Secretin,,,,,,
Serine,0.000003,0.00002,false,,https://en.wikipedia.org/wiki/Serine,,,,,,
Silicon,0.0000022,0.0000057,false,,https://en.wikipedia.org/wiki/Silicon,,,,,,
"Solids, total",0.08,0.09,false,,https://en.wikipedia.org/wiki/Total_dissolved_solids,,,,,,
Somatotropin (growth hormone),4e-10,1.4e-7,false,,https://en.wikipedia.org/wiki/Growth_hormone,,,,,,
Sphingomyelin,0.001,0.004,false,,https://en.wikipedia.org/wiki/Sphingomyelin,,,,,,
Succinic acid,0.000005,0.000005,false,,https://en.wikipedia.org/wiki/Succinic_acid,,,,,,
"Sugar, total",0.0007,0.0011,false,,https://en.wikipedia.org/wiki/Sugar,,,,,,
Sulfates inorganic,0.000008,0.000012,false,,https://en.wikipedia.org/wiki/Sulfate,,,,,,
Sulfur total,0.031,0.038,false,,https://en.wikipedia.org/wiki/Sulfur,,,,,,
Taurine,0.000003,0.000021,false,,https://en.wikipedia.org/wiki/Taurine,,,,,,
"Testosterone (male, free)",5.6e-9,1.02e-8,false,,https://en.wikipedia.org/wiki/Testosterone,,,,,,
"Testosterone (male, total)",2.75e-8,8.75e-8,false,,https://en.wikipedia.org/wiki/Testosterone,,,,,,
"Testosterone (female, free)",2.4e-12,3.8e-12,false,,https://en.wikipedia.org/wiki/Testosterone,,,,,,
"Testosterone (female, total)",2.3e-9,7.5e-9,false,,https://en.wikipedia.org/wiki/Testosterone,,,,,,
"Testosterone (female, pregnant)",3.8e-9,1.9e-8,false,,https://en.wikipedia.org/wiki/Testosterone,,,,,,
Thiamine (Vitamin B1),1e-8,9e-8,false,,https://en.wikipedia.org/wiki/Thiamine,,,,,,
Thiocyanate (nonsmoker),0.000001,0.000004,false,,https://en.wikipedia.org/wiki/Thiocyanate,,,,,,
Thiocyanate (smoker),0.000003,0.000012,false,,https://en.wikipedia.org/wiki/Thiocyanate,,,,,,
Threonine,9e-8,3.2e-7,false,,https://en.wikipedia.org/wiki/Threonine,,,,,,
Thyroglobulin (Tg),0,5e-8,false,,https://en.wikipedia.org/wiki/Thyroglobulin,,,,,,
Thyroid hormones,4e-8,8e-8,false,,https://en.wikipedia.org/wiki/Thyroid_hormone,,,,,,
"Thyroxine (FT4, free)",8e-12,2.4e-11,false,,https://en.wikipedia.org/wiki/Thyroxine,,,,,,
"Thyroxine (FT4, total)",4e-8,1.2e-7,false,,https://en.wikipedia.org/wiki/Thyroxine,,,,,,
Thyroxine-binding prealbumin,0.00028,0.00035,false,,https://en.wikipedia.org/wiki/Transthyretin,,,,,,
Thyroxine-binding globulin,1e-7,3.4e-7,false,,https://en.wikipedia.org/wiki/Thyroxine-binding_globulin,,,,,,
Tin,0,1e-7,false,,https://en.wikipedia.org/wiki/Tin,,,,,,
alpha-Tocopherol (Vitamin E),0.000005,0.00002,false,,https://en.wikipedia.org/wiki/Tocopherol,,,,,,
Transcortin (male),0.000015,0.00002,false,,https://en.wikipedia.org/wiki/Transcortin,,,,,,
Transcortin (female),0.000016,0.000025,false,,https://en.wikipedia.org/wiki/Transcortin,,,,,,
Transferrin (newborn),0.0013,0.00275,false,,https://en.wikipedia.org/wiki/Transferrin,,,,,,
Transferrin (adult),0.0022,0.004,false,,https://en.wikipedia.org/wiki/Transferrin,,,,,,
Transferrin (age >60 yrs),0.0018,0.0038,false,,https://en.wikipedia.org/wiki/Transferrin,,,,,,
Triiodothyronine (free),2.3e-12,6.6e-12,false,,https://en.wikipedia.org/wiki/Triiodothyronine,,,,,,
"Triiodothyronine (total, T3)",7.5e-10,2.5e-9,false,,https://en.wikipedia.org/wiki/Triiodothyronine,,,,,,
Tryptophan,0.000009,0.00003,false,,https://en.wikipedia.org/wiki/Tryptophan,,,,,,
Tyrosine,0.000004,0.000025,false,,https://en.wikipedia.org/wiki/Tyrosine,,,,,,
Uric acid (child),0.00002,0.0000067,false,,https://en.wikipedia.org/wiki/Uric_acid,,,,,,
"Uric acid (adult, male)",0.000034,0.0000072,false,,https://en.wikipedia.org/wiki/Uric_acid,,,,,,
"Uric acid (adult, female)",0.000024,0.0000061,false,,https://en.wikipedia.org/wiki/Uric_acid,,,,,,
Valine,0.0000017,0.0000042,false,,https://en.wikipedia.org/wiki/Valine,,,,,,
Vasoactive intestinal peptide (VIP),6e-12,1.6e-11,false,,https://en.wikipedia.org/wiki/Vasoactive_intestinal_peptide,,,,,,
Vasopressin (hydrated),4.5e-13,4.5e-13,false,,https://en.wikipedia.org/wiki/Vasopressin,,,,,,
Vasopressin (dehydrated),3.7e-12,3.7e-12,false,,https://en.wikipedia.org/wiki/Vasopressin,,,,,,
Valproic acid,0.195,0.488,false,,https://en.wikipedia.org/wiki/Valproic_acid,,Valproate,,,,
Lamotrigine,0.00586,0.0391,false,,https://en.wikipedia.org/wiki/Lamotrigine,,Lamictal,,,,
Carbamazepine,0.01693,0.05078,false,,https://en.wikipedia.org/wiki/Carbamazepine,,Tegretol,,,,
Olanzapine,0.00006401,0.00012803,false,,https://en.wikipedia.org/wiki/Olanzapine,,Zyprexa,,,,
Quetiapine,0.0002608,0.0026077,false,,https://en.wikipedia.org/wiki/Quetiapine,,Seroquel,,,,
Risperidone,0.00004873,0.00014619,false,,https://en.wikipedia.org/wiki/Risperidone,,Risperdal,,,,
Aripiprazole,0.0003352,0.0011174,false,,https://en.wikipedia.org/wiki/Aripiprazole,,Abilify,,,,
Ziprasidone,,,false,,https://en.wikipedia.org/wiki/Ziprasidone,,Geodon,,,,
Lurasidone,,,false,,https://en.wikipedia.org/wiki/Lurasidone,,Latuda,,,,
Asenapine,,,false,,https://en.wikipedia.org/wiki/Asenapine,,Saphris,,,,
Cariprazine,,,false,,https://en.wikipedia.org/wiki/Cariprazine,,Vraylar,,,,
Paliperidone,,,false,,https://en.wikipedia.org/wiki/Paliperidone,,Invega,,,,
Oxcarbazepine,,,false,,https://en.wikipedia.org/wiki/Oxcarbazepine,,Trileptal,,,,
Topiramate,,,false,,https://en.wikipedia.org/wiki/Topiramate,,Topamax,,,,
Gabapentin,,,false,,https://en.wikipedia.org/wiki/Gabapentin,,Neurontin,,,,
Clozapine,,,false,,https://en.wikipedia.org/wiki/Clozapine,,Clozaril,,,,
Haloperidol,,,false,,https://en.wikipedia.org/wiki/Haloperidol,,Haldol,,,,
Chlorpromazine,,,false,,https://en.wikipedia.org/wiki/Chlorpromazine,,Thorazine,,,,
Venlafaxine,,,false,,https://en.wikipedia.org/wiki/Venlafaxine,,Effexor,,,,
Fluoxetine,0.0003879,0.0016163,false,,https://en.wikipedia.org/wiki/Fluoxetine,,Prozac,,,,
Bupropion,,,false,,https://en.wikipedia.org/wiki/Bupropion,,Wellbutrin,,,,
Sertraline,,,false,,https://en.wikipedia.org/wiki/Sertraline,,Zoloft,,,,
Paroxetine,,,false,,https://en.wikipedia.org/wiki/Paroxetine,,Paxil,,,,
Escitalopram,,,false,,https://en.wikipedia.org/wiki/Escitalopram,,Lexapro,,,,
Duloxetine,,,false,,https://en.wikipedia.org/wiki/Duloxetine,,Cymbalta,,,,
Modafinil,,,false,,https://en.wikipedia.org/wiki/Modafinil,,Provigil,,,,

Schema
======

Rows
====

Follow me on X
 https://twitter.com/breckyunits Follow me on X
Built with Scroll v178.2.2
